iter	Passed	Remaining
539	13165	6339
540	13180	6309
541	13199	6283
542	13215	6255
543	13234	6228
544	13250	6199
545	13268	6172
546	13285	6144
547	13311	6121
548	13328	6093
549	13346	6066
550	13369	6041
551	13388	6015
552	13415	5991
553	13438	5967
554	13456	5940
555	13474	5913
556	13500	5889
557	13527	5866
558	13561	5846
559	13594	5826
560	13648	5814
561	13668	5788
562	13700	5767
563	13749	5753
564	13792	5736
565	13822	5714
566	13859	5695
567	13882	5670
568	13904	5644
569	13923	5618
570	13944	5592
571	13968	5568
572	13990	5542
573	14009	5515
574	14028	5489
575	14050	5464
576	14066	5436
577	14085	5410
578	14106	5384
579	14122	5356
580	14139	5329
581	14156	5302
582	14173	5275
583	14192	5249
584	14215	5224
585	14236	5198
586	14254	5172
587	14271	5145
588	14291	5119
589	14312	5094
590	14329	5067
591	14389	5055
592	14415	5032
593	14438	5007
594	14467	4984
595	14488	4959
596	14510	4934
597	14528	4907
598	14544	4880
599	14568	4856
600	14589	4830
601	14601	4802
602	14621	4776
603	14646	4752
604	14661	4725
605	14695	4704
606	14710	4677
607	14728	4651
608	14746	4624
609	14759	4597
610	14774	4570
611	14797	4545
612	14817	4520
613	14832	4493
614	14853	4468
615	14867	4440
616	14887	4415
617	14909	4390
618	14925	4364
619	14942	4338
620	14954	4310
621	14969	4283
622	14989	4258
623	15009	4233
624	15029	4208
625	15049	4183
626	15072	4158
627	15094	4134
628	15113	4108
629	15142	4085
630	15161	4060
631	15192	4038
632	15223	4016
633	15258	3995
634	15287	3972
635	15310	3948
636	15327	3922
637	15345	3896
638	15368	3872
639	15390	3847
640	15407	3821
641	15435	3798
642	15454	3773
643	15474	3748
644	15494	3723
645	15514	3698
646	15534	3673
647	15551	3647
648	15570	3622
649	15591	3598
650	15618	3574
651	15652	3552
652	15684	3530
653	15708	3506
654	15726	3481
655	15742	3455
656	15764	3431
657	15782	3405
658	15802	3381
659	15820	3355
660	15835	3330
661	15853	3304
662	15872	3279
663	15891	3254
664	15909	3229
665	15926	3204
666	15948	3180
667	15963	3154
668	15983	3129
669	16003	3105
670	16024	3080
671	16041	3055
672	16084	3035
673	16124	3014
674	16146	2990
675	16174	2966
676	16202	2943
677	16225	2919
678	16255	2896
679	16282	2873
680	16304	2849
681	16325	2824
682	16345	2800
683	16361	2774
684	16386	2751
685	16411	2727
686	16428	2702
687	16444	2676
688	16463	2652
689	16478	2627
690	16496	2602
691	16512	2577
692	16528	2552
693	16551	2528
694	16570	2503
695	16592	2479
696	16611	2454
697	16630	2430
698	16646	2405
699	16669	2381
700	16693	2357
701	16707	2332
702	16726	2307
703	16743	2283
704	16763	2258
705	16777	2233
706	16796	2209
707	16810	2184
708	16832	2160
709	16858	2136
710	16876	2112
711	16932	2092
712	16990	2073
713	17011	2049
714	17045	2026
715	17073	2003
716	17092	1978
717	17117	1954
718	17150	1932
719	17169	1907
720	17188	1883
721	17214	1859
722	17233	1835
723	17254	1811
724	17273	1786
725	17290	1762
726	17309	1738
727	17331	1714
728	17354	1690
729	17375	1666
730	17396	1642
731	17442	1620
732	17478	1597
733	17500	1573
734	17536	1550
735	17578	1528
736	17610	1505
737	17662	1483
738	17684	1459
739	17711	1436
740	17735	1412
741	17757	1388
742	17779	1363
743	17810	1340
744	17828	1316
745	17850	1292
746	17869	1267
747	17896	1244
748	17914	1219
749	17938	1195
750	17969	1172
751	17984	1147
752	18010	1124
753	18038	1100
754	18056	1076
755	18072	1051
756	18094	1027
757	18113	1003
758	18127	979
759	18150	955
760	18168	931
761	18189	907
762	18217	883
763	18235	859
764	18253	835
765	18273	811
766	18291	786
767	18306	762
768	18325	738
769	18342	714
770	18359	690
771	18380	666
772	18398	642
773	18415	618
774	18433	594
775	18472	571
776	18498	547
777	18514	523
778	18531	499
779	18557	475
780	18598	452
781	18633	428
782	18653	404
783	18672	381
784	18699	357
785	18720	333
786	18733	309
787	18749	285
788	18763	261
789	18779	237
790	18797	213
791	18817	190
792	18834	166
793	18852	142
794	18874	118
795	18892	94
796	18908	71
797	18928	47
798	18951	23
799	18968	0
